,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,air_quality_index,pollution_level,weekday,season
0,1,2013,3,1,0,4,4,4,7,300,77,-0.7,1023,-18.8,0,NW,4,Aotizhongxin,23,Good,Weekday,Spring
1,2,2013,3,1,1,8,8,4,7,300,77,-1.1,1023.2,-18.2,0,N,4,Aotizhongxin,25,Good,Weekday,Spring
2,3,2013,3,1,2,7,7,5,10,300,73,-1.1,1023.5,-18.2,0,NW,5,Aotizhongxin,24.25,Good,Weekday,Spring
3,4,2013,3,1,3,6,6,11,11,300,72,-1.4,1024.5,-19.4,0,NW,3,Aotizhongxin,23.75,Good,Weekday,Spring
4,5,2013,3,1,4,3,3,12,12,300,72,-2,1025.2,-19.5,0,N,2,Aotizhongxin,22.5,Good,Weekday,Spring
5,6,2013,3,1,5,5,5,18,18,400,66,-2.2,1025.6,-19.6,0,N,3,Aotizhongxin,23.5,Good,Weekday,Spring
6,7,2013,3,1,6,3,3,18,32,500,50,-2.6,1026.5,-19.1,0,NE,2,Aotizhongxin,22,Good,Weekday,Spring
7,8,2013,3,1,7,3,6,19,41,500,43,-1.6,1027.4,-19.1,0,NW,3,Aotizhongxin,23.25,Good,Weekday,Spring
8,9,2013,3,1,8,3,6,16,43,500,45,0.1,1028.3,-19.2,0,NW,4,Aotizhongxin,24.25,Good,Weekday,Spring
9,10,2013,3,1,9,3,8,12,28,400,59,1.2,1028.5,-19.3,0,N,2,Aotizhongxin,24.5,Good,Weekday,Spring
10,11,2013,3,1,10,3,6,9,12,400,72,1.9,1028.2,-19.4,0,NW,3,Aotizhongxin,23.25,Good,Weekday,Spring
11,12,2013,3,1,11,3,6,9,14,400,71,2.9,1028.2,-20.5,0,N,3,Aotizhongxin,23.5,Good,Weekday,Spring
12,13,2013,3,1,12,3,6,7,13,300,74,3.9,1027.3,-19.7,0,NW,5,Aotizhongxin,24,Good,Weekday,Spring
13,14,2013,3,1,13,3,6,7,12,400,76,5.3,1026.2,-19.3,0,NW,4,Aotizhongxin,24.25,Good,Weekday,Spring
14,15,2013,3,1,14,6,9,7,11,400,77,6,1025.9,-19.6,0,NW,4,Aotizhongxin,25.75,Good,Weekday,Spring
15,16,2013,3,1,15,8,15,7,14,400,76,6.2,1025.7,-18.6,0,NE,2,Aotizhongxin,28.25,Good,Weekday,Spring
16,17,2013,3,1,16,9,19,9,13,400,76,5.9,1025.6,-18.1,0,NW,3,Aotizhongxin,29.25,Good,Weekday,Spring
17,18,2013,3,1,17,10,23,11,15,400,74,4.3,1026.3,-18.7,0,NE,2,Aotizhongxin,30.5,Good,Weekday,Spring
18,19,2013,3,1,18,11,20,8,20,500,70,3.1,1027.4,-18.4,0,NE,2,Aotizhongxin,30.25,Good,Weekday,Spring
19,20,2013,3,1,19,8,14,12,30,500,60,2.3,1028.3,-18.4,0,N,2,Aotizhongxin,28,Good,Weekday,Spring
20,21,2013,3,1,20,11,17,13,33,600,55,1.7,1029.1,-17.3,0,N,2,Aotizhongxin,29,Good,Weekday,Spring
21,22,2013,3,1,21,12,18,16,35,500,50,0.6,1030.1,-16.7,0,NE,0,Aotizhongxin,28.75,Good,Weekday,Spring
22,23,2013,3,1,22,15,19,21,57,700,32,0.9,1030.5,-17.4,0,NE,1,Aotizhongxin,30.75,Good,Weekday,Spring
23,24,2013,3,1,23,24,24,26,54,600,36,-0.2,1030.5,-17.4,0,NE,1,Aotizhongxin,34.5,Good,Weekday,Spring
24,25,2013,3,2,0,22,24,24,44,500,44,-0.4,1031,-17.6,0,NE,1,Aotizhongxin,33.5,Good,Weekday,Spring
25,26,2013,3,2,1,14,17,21,36,400,50,-1,1031.3,-17.3,0,NE,1,Aotizhongxin,29.25,Good,Weekday,Spring
26,27,2013,3,2,2,13,13,20,37,400,47,-1.5,1030.9,-16.9,0,E,1,Aotizhongxin,27.5,Good,Weekday,Spring
27,28,2013,3,2,3,3,9,13,34,400,52,-1.4,1030.6,-17.6,0,NE,1,Aotizhongxin,24.5,Good,Weekday,Spring
28,29,2013,3,2,4,3,7,18,43,400,43,-1.5,1030.8,-17.7,0,NW,0,Aotizhongxin,24,Good,Weekday,Spring
29,30,2013,3,2,5,9,11,19,70,500,20,-1.8,1030.1,-17.5,0,NE,2,Aotizhongxin,27.5,Good,Weekday,Spring
30,31,2013,3,2,6,4,10,28,46,500,39,-2.5,1029.6,-17.7,0,NW,0,Aotizhongxin,24.75,Good,Weekday,Spring
31,32,2013,3,2,7,3,11,34,58,500,27,-1.7,1029.8,-17,0,NE,1,Aotizhongxin,24.75,Good,Weekday,Spring
32,33,2013,3,2,8,3,7,21,49,500,43,-0.4,1029.6,-17.6,0,NE,1,Aotizhongxin,25.5,Good,Weekday,Spring
33,34,2013,3,2,9,10,14,47,62,700,29,0.6,1029.7,-16.7,0,NE,1,Aotizhongxin,28.75,Good,Weekday,Spring
34,35,2013,3,2,10,11,19,36,60,600,34,1.7,1028.9,-16.3,0,W,1,Aotizhongxin,31,Good,Weekday,Spring
35,36,2013,3,2,11,18,29,36,70,800,27,2.2,1028.2,-16.8,0,SW,3,Aotizhongxin,36,Good,Weekday,Spring
36,37,2013,3,2,12,26,30,25,76,900,22,2.7,1027.3,-16.4,0,SW,2,Aotizhongxin,38.5,Good,Weekday,Spring
37,38,2013,3,2,13,25,33,20,57,700,39,3.3,1025.7,-16.4,0,W,1,Aotizhongxin,38.5,Good,Weekday,Spring
38,39,2013,3,2,14,26,35,22,54,700,43,3.8,1024.8,-16,0,SE,1,Aotizhongxin,39.5,Good,Weekday,Spring
