Type,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode,Hour,DayOfWeek,Month,Severity_Heavy,Severity_Light,Severity_Moderate,Severity_Severe,Severity_UNK,Duration,Season
Snow,2016-01-06 23:14:00,2016-01-07 00:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,23,2,1,False,True,False,False,False,1.3333333333333333,Winter
Snow,2016-01-07 04:14:00,2016-01-07 04:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,4,3,1,False,True,False,False,False,0.6666666666666666,Winter
Snow,2016-01-07 05:54:00,2016-01-07 15:34:00,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,5,3,1,False,True,False,False,False,9.666666666666666,Winter
Snow,2016-01-08 05:34:00,2016-01-08 05:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,5,4,1,False,True,False,False,False,0.3333333333333333,Winter
Snow,2016-01-08 13:54:00,2016-01-08 15:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,13,4,1,False,True,False,False,False,2.0,Winter
Snow,2016-01-08 16:14:00,2016-01-08 17:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,16,4,1,False,True,False,False,False,1.3333333333333333,Winter
Fog,2016-01-09 12:54:00,2016-01-09 15:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,12,5,1,False,False,False,True,False,2.6666666666666665,Winter
Snow,2016-01-09 15:34:00,2016-01-09 16:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,15,5,1,False,True,False,False,False,0.6666666666666666,Winter
Fog,2016-01-09 16:14:00,2016-01-09 16:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,16,5,1,False,False,False,True,False,0.3333333333333333,Winter
Snow,2016-01-09 16:34:00,2016-01-09 16:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149.0,16,5,1,False,True,False,False,False,0.3333333333333333,Winter
